,date,price,rsi,macd,macdSignalLine,macdHistogram,macdRecomendation,rsiRecomendation,endRecomendation
0,"01 January, 2022",47722.65,,,,,hold,,hold
1,"02 January, 2022",47286.18,,,,,hold,,hold
2,"03 January, 2022",46446.1,,,,,hold,,hold
3,"04 January, 2022",45832.01,,,,,hold,,hold
4,"05 January, 2022",43451.13,,,,,hold,,hold
5,"06 January, 2022",43082.31,,,,,hold,,hold
6,"07 January, 2022",41566.48,,,,,hold,,hold
7,"08 January, 2022",41679.74,,,,,hold,,hold
8,"09 January, 2022",41864.62,,,,,hold,,hold
9,"10 January, 2022",41822.49,,,,,hold,,hold
10,"11 January, 2022",42729.29,,,,,hold,,hold
11,"12 January, 2022",43902.66,,,,,hold,,hold
12,"13 January, 2022",42560.11,,,,,hold,,hold
13,"14 January, 2022",43059.96,35.39361341054588,,,,hold,buy,hold
14,"15 January, 2022",43084.29,35.63844647920024,,,,hold,buy,hold
15,"16 January, 2022",43071.66,35.56310394771239,,,,hold,buy,hold
16,"17 January, 2022",42201.62,30.74173495663284,,,,hold,buy,hold
17,"18 January, 2022",42352.12,32.44778692540521,,,,hold,buy,hold
18,"19 January, 2022",41660.01,28.919711131661543,,,,hold,buy,hold
19,"20 January, 2022",40680.91,24.80996020175941,,,,hold,buy,hold
20,"21 January, 2022",36445.31,14.927279159860461,,,,hold,buy,hold
21,"22 January, 2022",35071.42,13.103922109963662,,,,hold,buy,hold
22,"23 January, 2022",36244.55,21.87875916243874,,,,hold,buy,hold
23,"24 January, 2022",36660.35,24.778144607629898,,,,hold,buy,hold
24,"25 January, 2022",36958.32,26.8726871043759,,,,hold,buy,hold
25,"26 January, 2022",36809.34,26.47573935469012,-2390.07714074682,,,hold,buy,hold
26,"27 January, 2022",37160.1,29.13004647246622,-2335.6424186527875,,,hold,buy,hold
27,"28 January, 2022",37716.56,33.24721343255395,-2221.9871529819357,,,hold,buy,hold
28,"29 January, 2022",38166.84,36.46376977969499,-2071.6994416673697,,,hold,buy,hold
29,"30 January, 2022",37881.76,35.303889679896756,-1953.0849733534778,,,hold,buy,hold
30,"31 January, 2022",38466.9,39.5539690558437,-1791.2181964881456,,,hold,buy,hold
31,"01 February, 2022",38694.59,41.17339650986629,-1625.8234488416492,,,hold,buy,hold
32,"02 February, 2022",36896.36,33.53248152763794,-1621.161313804172,,,hold,buy,hold
33,"03 February, 2022",37311.61,36.464677528330036,-1565.9085149707753,-1875.3097415083976,309.4012265376223,hold,buy,hold
34,"04 February, 2022",41574.25,57.2924198168394,-1164.7345157141754,-1733.1946963495532,568.4601806353778,hold,hold,hold
35,"05 February, 2022",41382.59,56.39721557647699,-852.4401913312176,-1557.0437953458863,704.6036040146687,hold,hold,hold
36,"06 February, 2022",42380.87,59.91085602361748,-518.4158609305305,-1349.3182084628152,830.9023475322847,hold,hold,hold
37,"07 February, 2022",43839.99,64.42348677962298,-134.41097687381261,-1106.3367621450145,971.9257852712019,hold,hold,hold
38,"08 February, 2022",44042.99,65.01354206303782,184.17303173899563,-848.2348033682126,1032.4078351072083,hold,sell,hold
39,"09 February, 2022",44372.72,65.9999487365065,457.9802973844853,-586.9917832176731,1044.9720806021583,hold,sell,hold
40,"10 February, 2022",43495.44,61.066784993515384,597.3000605268462,-350.1334144687692,947.4334749956154,sell,hold,sell
41,"11 February, 2022",42373.73,55.368171993819004,610.1657432107386,-158.07358293286765,768.2393261436063,hold,hold,hold
42,"12 February, 2022",42217.87,54.60567064318843,600.8589619150807,-6.287073963277976,607.1460358783587,hold,hold,hold
43,"13 February, 2022",42053.66,53.765564320898726,573.6205553510881,109.69445189959525,463.92610345149285,hold,hold,hold
44,"14 February, 2022",42535.94,55.91097923499398,584.2154156744364,204.5986446545635,379.6167710198729,hold,hold,hold
45,"15 February, 2022",44544.86,63.50724946649019,746.1142331280644,312.90176234926366,433.2124707788007,hold,hold,hold
46,"16 February, 2022",43873.56,59.79953366118216,810.9043125218959,412.5022723837901,398.4020401381058,sell,hold,sell
47,"17 February, 2022",40515.7,45.49240073874208,584.5612201663826,446.9140619403086,137.64715822607394,hold,hold,hold
48,"18 February, 2022",39974.44,43.67835144236327,357.3877863246962,429.00880681718616,-71.62102049248995,hold,buy,hold
49,"19 February, 2022",40079.17,44.142483646856356,183.68463688948395,379.94397283164574,-196.25933594216178,hold,buy,hold
50,"20 February, 2022",38386.89,38.60630178399102,-89.4975415784429,286.055669949628,-375.5532115280709,hold,buy,hold
51,"21 February, 2022",37008.16,34.7792409167094,-412.493407425638,146.3458544745748,-558.8392619002128,hold,buy,hold
52,"22 February, 2022",38230.33,40.417712759876046,-563.3570241728667,4.405278745086505,-567.7623029179532,hold,buy,hold
53,"23 February, 2022",37250.01,37.60911462093996,-753.3371566765636,-147.14320833924353,-606.1939483373201,hold,buy,hold
54,"24 February, 2022",38327.21,42.34970640082509,-807.666466681716,-279.24786000773804,-528.4186066739779,buy,buy,buy
55,"25 February, 2022",39219.17,46.0079683327309,-769.8744848717179,-377.373184980534,-392.50129989118386,hold,hold,hold
56,"26 February, 2022",39116.72,45.649655758953905,-739.6645334835775,-449.83145468114276,-289.8330788024348,hold,hold,hold
57,"27 February, 2022",37699.07,40.90262626852312,-820.6554315870744,-523.9962500623292,-296.65918152474524,hold,buy,hold
58,"28 February, 2022",43160.0,58.71320021523877,-439.12789669281483,-507.0225793884264,67.89468269561155,hold,hold,hold
59,"01 March, 2022",44421.2,61.59213566976022,-34.59745885038865,-412.5375552808189,377.94009643043023,hold,hold,hold
60,"02 March, 2022",43892.98,59.71406091074187,240.5994079361335,-281.9101626374284,522.5095705735619,hold,hold,hold
61,"03 March, 2022",42454.0,54.81086890905883,338.6771878066502,-157.7926925486127,496.4698803552629,sell,hold,sell
62,"04 March, 2022",39148.66,45.55735185735034,147.98533798660355,-96.63708644156945,244.62242442817302,hold,hold,hold
63,"05 March, 2022",39397.96,46.29382211271164,16.783628435434366,-73.95294346616869,90.73657190160306,hold,hold,hold
64,"06 March, 2022",38420.81,43.79320967272881,-164.15028791872464,-91.99241235667989,-72.15787556204475,hold,buy,hold
65,"07 March, 2022",37988.0,42.69318447775755,-338.56312508602423,-141.30655490254875,-197.25657018347547,hold,buy,hold
66,"08 March, 2022",38730.63,45.2350828171629,-412.11195050102106,-195.4676340222432,-216.64431647877785,hold,hold,hold
67,"09 March, 2022",41941.71,54.610142485823594,-208.88471171788115,-198.1510495613708,-10.733662156510348,buy,hold,buy
68,"10 March, 2022",39422.0,47.70851351872975,-248.28314615595446,-208.17746888028753,-40.10567727566692,hold,hold,hold
69,"11 March, 2022",38729.57,45.988478308414514,-331.5580090785952,-232.8535769199491,-98.70443215864611,hold,hold,hold
70,"12 March, 2022",38807.36,46.2230470953687,-386.8179386153788,-263.6464492590351,-123.17148935634373,hold,hold,hold
71,"13 March, 2022",37777.34,43.527458043038344,-507.8714111742229,-312.4914416420727,-195.3799695321502,hold,buy,hold
72,"14 March, 2022",39671.37,49.37394612676732,-445.8354547895724,-339.16024427157265,-106.67521051799974,buy,hold,buy
73,"15 March, 2022",39280.33,48.26300484891258,-423.34511340798053,-355.99721809885426,-67.34789530912627,hold,hold,hold
74,"16 March, 2022",41114.0,53.541860181678715,-254.62436032089317,-335.7226465432621,81.09828622236893,hold,hold,hold
75,"17 March, 2022",40917.9,52.91999045804881,-135.17733883874462,-295.6135850023586,160.436246163614,hold,hold,hold
76,"18 March, 2022",41757.51,55.313143408535794,26.92442829214997,-231.1059823434569,258.03041063560687,hold,hold,hold
77,"19 March, 2022",42201.13,56.56931450479687,189.00889623467083,-147.08300662783137,336.0919028625022,hold,hold,hold
78,"20 March, 2022",41262.11,53.16268940917063,238.93662586218852,-69.8790801298274,308.8157059920159,sell,hold,sell
79,"21 March, 2022",41002.25,52.22539837660915,254.60129578845226,-4.983004946171469,259.58430073462375,hold,hold,hold
80,"22 March, 2022",42364.13,56.54905174633943,372.6127460635762,70.53614525577807,302.0766008077981,hold,hold,hold
81,"23 March, 2022",42882.76,58.104047955352364,502.19775415874756,156.86846703637195,345.3292871223756,hold,hold,hold
82,"24 March, 2022",43991.46,61.293086130050774,686.4447234166873,262.78371831243504,423.6610051042523,hold,hold,hold
83,"25 March, 2022",44313.16,62.192353822409096,848.6377081809842,379.9545162861449,468.6831918948393,hold,hold,hold
84,"26 March, 2022",44511.27,62.7660469041041,981.8445457235866,500.33252217363327,481.51202354995337,hold,hold,hold
85,"27 March, 2022",46827.76,68.73925923325527,1259.8109905706588,652.2282158530384,607.5827747176204,hold,sell,hold
86,"28 March, 2022",47122.21,69.41099726302086,1486.7230372107224,819.1271801245751,667.5958570861472,hold,sell,hold
87,"29 March, 2022",47434.8,70.14445299826546,1672.4963724733389,989.801018594328,682.6953538790109,hold,sell,hold
88,"30 March, 2022",47067.99,68.08150395181939,1769.7242975654299,1145.7856743885484,623.9386231768815,sell,sell,sell
89,"31 March, 2022",45510.34,60.01036486127282,1701.4752440328448,1256.9235883174078,444.55165571543694,hold,hold,hold
90,"01 April, 2022",46283.49,62.39349226200625,1690.2895155496735,1343.5967737638612,346.69274178581236,hold,hold,hold
91,"02 April, 2022",45811.0,60.03874151556758,1624.5716996093033,1399.7917589329495,224.77994067635382,hold,hold,hold
